"Appname","Date","Score","Text"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very helpful"
"Microsoft Lens - PDF Scanner","Unknown",5,"Easy to use features. My go to app when I need to edit pics of maps and plans that are sent via web"
"Microsoft Lens - PDF Scanner","Unknown",5,"Vey nice app"
"Microsoft Lens - PDF Scanner","Unknown",4,"So far so good. I like it better than Adobe Scan, though I think the cropping function could do with some improvement."
"Microsoft Lens - PDF Scanner","Unknown",5,"Amazing app , so helpful. Thanks for this ☺️🫶"
"Microsoft Lens - PDF Scanner","Unknown",5,"So far it's been a life saver"
"Microsoft Lens - PDF Scanner","Unknown",5,"I use this frequently to scan documents or to make pdf"
"Microsoft Lens - PDF Scanner","Unknown",5,"Works great so far"
"Microsoft Lens - PDF Scanner","Unknown",5,"It's very helpful app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Ever appreciated"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very nice app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Simply the best!!!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good , and free of cost like money 💰"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Exalent"
"Microsoft Lens - PDF Scanner","Unknown",5,"Looks good."
"Microsoft Lens - PDF Scanner","Unknown",5,"I've had this for years and love it."
"Microsoft Lens - PDF Scanner","Unknown",5,"Ok"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",4,"Great up"
"Microsoft Lens - PDF Scanner","Unknown",5,"Hi good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Easy to use. Clear pic"
"Microsoft Lens - PDF Scanner","Unknown",5,"It's a hands-on app!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Just easy to use! Great app to have on hand. Send my PDFs directly to my laptop."
"Microsoft Lens - PDF Scanner","Unknown",5,"Overall best app i really liked this app it's very easy to use and simple interface ."
"Microsoft Lens - PDF Scanner","Unknown",1,"can't insert more than 100 images in one shot. useless"
"Microsoft Lens - PDF Scanner","Unknown",5,"Easy way to capture whiteboards and documents that are saved directly into OneDrive."
"Microsoft Lens - PDF Scanner","Unknown",5,"Easy scan , and automatically saves on PDF file.,superb!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Easy to use and it is the best scanner app."
"Microsoft Lens - PDF Scanner","Unknown",5,"very useful app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Soo good simple and very very effective"
"Microsoft Lens - PDF Scanner","Unknown",5,"Great!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Great app 😄"
"Microsoft Lens - PDF Scanner","Unknown",4,"Good for official & personal work."
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Superb"
"Microsoft Lens - PDF Scanner","Unknown",1,"Why did you change the photo taking ui???? It's horrible now!!! It takes more clicks to save a photo now! Why does deleting a photo i just took a second ago take so many clicks to delete? I'm deleting it because it's a bad photo, I'm about to take another one that's hopefully better so why does it take me so long to delete it so i can take another??"
"Microsoft Lens - PDF Scanner","Unknown",5,"व्हेरी गुड"
"Microsoft Lens - PDF Scanner","Unknown",5,"Great app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Ok"
"Microsoft Lens - PDF Scanner","Unknown",4,"Part of my life!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very useful"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very good"
"Microsoft Lens - PDF Scanner","Unknown",5,"I have been using Microsoft Lens for all my project works , documents etc . It really helps me a lot as the app is very user friendly and bugs free . Allover an excellent app . Thank you Team Microsoft."
"Microsoft Lens - PDF Scanner","Unknown",5,"easy and fast to take documents"
"Microsoft Lens - PDF Scanner","Unknown",1,"Very bad document detection, very finicky."
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very good app for instant scanning documents"
"Microsoft Lens - PDF Scanner","Unknown",4,"ممتاز"
"Microsoft Lens - PDF Scanner","Unknown",5,"ok"
"Microsoft Lens - PDF Scanner","Unknown",5,"Best app 👍"
"Microsoft Lens - PDF Scanner","Unknown",5,"Fantastic!"
"Microsoft Lens - PDF Scanner","Unknown",5,"Handy"
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent for converting and merging"
"Microsoft Lens - PDF Scanner","Unknown",5,"Works...."
"Microsoft Lens - PDF Scanner","Unknown",5,"Great tool"
"Microsoft Lens - PDF Scanner","Unknown",5,"App is really good. I'm so much helpful by using this app...."
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent app.."
"Microsoft Lens - PDF Scanner","Unknown",5,"Good tool"
"Microsoft Lens - PDF Scanner","Unknown",4,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very clear images but requires small storage space."
"Microsoft Lens - PDF Scanner","Unknown",5,"Great app for quick scans"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very very convenient."
"Microsoft Lens - PDF Scanner","Unknown",1,"QR code scanner is not working, and navigation is not as intuitive as one would expect of a Microsoft product"
"Microsoft Lens - PDF Scanner","Unknown",5,"Makes my camera quality superb"
"Microsoft Lens - PDF Scanner","Unknown",5,"Great"
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent"
"Microsoft Lens - PDF Scanner","Unknown",5,"The best apps for capture scan dokumen"
"Microsoft Lens - PDF Scanner","Unknown",4,"Good and super"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very useful for students."
"Microsoft Lens - PDF Scanner","Unknown",5,"Very beautiful app very very useful no ads and very easy and user friendly app love it 💗💗💗💗💗"
"Microsoft Lens - PDF Scanner","Unknown",5,"It's the best PDF scanner that I found, very easy to manage."
"Microsoft Lens - PDF Scanner","Unknown",5,"Best to make pdf And to make documents list"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Mantap. Hasil scannya bagus"
"Microsoft Lens - PDF Scanner","Unknown",5,"Best app for scanning"
"Microsoft Lens - PDF Scanner","Unknown",5,"This app is the best in it's service."
"Microsoft Lens - PDF Scanner","Unknown",2,"It doesn't work on Samsung A13 after update."
"Microsoft Lens - PDF Scanner","Unknown",5,"Very practical"
"Microsoft Lens - PDF Scanner","Unknown",5,"Love it"
"Microsoft Lens - PDF Scanner","Unknown",5,"Nice.."
"Microsoft Lens - PDF Scanner","Unknown",5,"Great, just gets better every time i use it"
"Microsoft Lens - PDF Scanner","Unknown",5,"Love this app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"It's a very good app I will suggest it to everyone"
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent"
"Microsoft Lens - PDF Scanner","Unknown",5,"Best"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good scan and drive support."
"Microsoft Lens - PDF Scanner","Unknown",5,"So easy, fantastic app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Fine"
"Microsoft Lens - PDF Scanner","Unknown",5,"It's a very Good App."
"Microsoft Lens - PDF Scanner","Unknown",5,"It's a good app available for creating & editing PDF"
"Microsoft Lens - PDF Scanner","Unknown",5,"Works perfectly 👍🏻"
"Microsoft Lens - PDF Scanner","Unknown",5,"Super easy to use. Fantastic app."
"Microsoft Lens - PDF Scanner","Unknown",5,"Awsm experience"
"Microsoft Lens - PDF Scanner","Unknown",5,"👍"
"Microsoft Lens - PDF Scanner","Unknown",5,"Superb app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Best I ever seen"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good feature as it directly upload to drive and it will appear in other logged in device."
"Microsoft Lens - PDF Scanner","Unknown",5,"This app is cool. I started using this app for my documents a few days ago and it works well like a scanner! This app is useful for every photos too!"
"Microsoft Lens - PDF Scanner","Unknown",5,"very good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Awesome app"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very easy very useful."
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent but more than one scan we should use for attachment"
"Microsoft Lens - PDF Scanner","Unknown",1,"Need to waste time on login when I just want to scan smth offline"
"Microsoft Lens - PDF Scanner","Unknown",5,"Excellent"
"Microsoft Lens - PDF Scanner","Unknown",5,"Nice scanner"
"Microsoft Lens - PDF Scanner","Unknown",4,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Very nice aap"
"Microsoft Lens - PDF Scanner","Unknown",5,"Good"
"Microsoft Lens - PDF Scanner","Unknown",5,"Super convenient for making PDFs"
"Microsoft Lens - PDF Scanner","Unknown",5,"Perfect Scanner"
"Microsoft Lens - PDF Scanner","Unknown",5,"Great app"
