"Appname","Date","Score","Text"
"Instagram","Unknown",5,"♡Ꭺʟᴏɴᴇ✓⁷⁸⁶×͜×ㅤ my best app Instagram"
"Instagram","Unknown",2,"Why suspended all new acc without any reason"
"Instagram","Unknown",5,"Asha Sings👑💯👑 asha devi"
"Instagram","Unknown",5,"😘😘😘😘😍😘😍😘😍😘"
"Instagram","Unknown",5,"This earea in instagram contrifriesh"
"Instagram","Unknown",5,"Insanity!!"
"Instagram","Unknown",5,"Freey"
"Instagram","Unknown",3,"Bahut 👌"
"Instagram","Unknown",1,"Hard rool"
"Instagram","Unknown",2,"Instagram ❌ Timewaste Machine✅"
"Instagram","Unknown",1,")q"
"Instagram","Unknown",5,"😍😍"
"Instagram","Unknown",5,"Intrested"
"Instagram","Unknown",3,"Insta gram plz mera 10k FLLOEW pura do 🙋‍♀️"
"Instagram","Unknown",5,"♥️😇♥️"
"Instagram","Unknown",5,"This App is very good"
"Instagram","Unknown",5,"Maja aata dekhne mein bahut achcha"
"Instagram","Unknown",5,"Like 1M"
"Instagram","Unknown",4,"instagram beg, decreaseing followers🙂, network issues, asthethic filter removed why?that is a good filter plz add it🙏🏻"
"Instagram","Unknown",1,"Paiyal"
"Instagram","Unknown",5,"Best friend"
"Instagram","Unknown",5,"Great"
"Instagram","Unknown",1,"You are not tiktok and you will never be tiktok so stop ruining the things people actually like about your app in a sorry attempt to mimic tiktok. Literally what is the point of making it so that you can no longer search for non-reel posts using the search function? What is the point of taking away the ability to look at posts under hashtags? Or taking away the story filters? It's like you purposefully want to make your app worse. Not to mention the weird sexual and racist content that stays up"
"Instagram","Unknown",5,"Happy"
"Instagram","Unknown",1,"Man please let people choose between highlight bubbles and new update Like why don't you give people autonomy to have what they want😭🙏"
"Instagram","Unknown",5,"Niceee app"
"Instagram","Unknown",5,"This is so amezing app"
"Instagram","Unknown",5,"Very true aap"
"Instagram","Unknown",3,"Wte"
"Instagram","Unknown",1,"👎 bad app Kam nhe karta kou larki sms nhe karta hee 😭😭"
"Instagram","Unknown",5,"Bahot ghatiya app hai Pls dont download your phone"
"Instagram","Unknown",1,"Instagram isn't responding."
"Instagram","Unknown",5,"BOSS"
"Instagram","Unknown",1,"Autistic joker'berg own instagram and deployed an autistic policy maker team! This autistics found culpability in some common words! Did not add simple options like deleting all notifications at once and pause reel to write comment. Reporting inappropriate contents does not works! It always shows vulgar reels I'm not interested in. No doubt, instagram has been created to promote nudity/vulgarity and getting worst day by day."
"Instagram","Unknown",1,"Useless it's a waste of time"
"Instagram","Unknown",5,"👍👣💖💖💖👣👍"
"Instagram","Unknown",5,"Baigan ka hai app Pora baigan ma mil ja ta apan😂😂"
"Instagram","Unknown",5,"Sauj. 🙏🥺"
"Instagram","Unknown",2,"👍🏻"
"Instagram","Unknown",5,"Playing here makes rummy even more fun.."
"Instagram","Unknown",1,"This app is very glitchy and non-functional, the ads on here are a lot and take up half the screen, the ai system is very inappropriate and makes the app stop working all together, I am very disappointed with this app, do not download!"
"Instagram","Unknown",1,"Lind app h"
"Instagram","Unknown",3,"Its to good"
"Instagram","Unknown",1,"Hello Dear Instagram Team Sir My Instagram Account is disabled I Want my Facebook account Sir i'm sure i didn't break your rules and regulations and i respect you and your comunnity guidelins, sir i'm sure you have made a mistake please sir i request you please review my account again and reopen my Instagram account as well as soon possible Thank you Sir My Instagram Username raxstar367"
"Instagram","Unknown",5,"Good 👍"
"Instagram","Unknown",5,"Super Instagram only friend"
"Instagram","Unknown",5,"Great😊"
"Instagram","Unknown",5,"Nice 😌"
"Instagram","Unknown",5,"It just so fun to use I can post watch videos I can do everything"
"Instagram","Unknown",5,"Useless"
"Instagram","Unknown",5,"OMGGG"
"Instagram","Unknown",1,"Terrible experiences with this app and company."
"Instagram","Unknown",5,"Best social media apps"
"Instagram","Unknown",5,"🥰🙏🙏❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
"Instagram","Unknown",1,"Shoving threads down my throat by showing me posts of girls fingerings themselves. Cop the hell on."
"Instagram","Unknown",1,"Unwanted Updates Regularly. No one asked for this. They are not doing any due diligence if this feature will work or not, and they just keep pushing updates. Sick of this. Ruined my experience and I am sure many people are frustrated with the same issue. I can't post Quiz on Stories, I Can't Post Multiple Slides Post, Content Reach Down by 70%, Achievement feature is gone, I can't see my badges now. But the Engineers of Instagram don't take any feedback, and just do of their own."
"Instagram","Unknown",5,"Werry werry suppurb app eny small problems"
"Instagram","Unknown",1,"Which notification category does ""user shared a post you might like"" follow under?; cause I want to turn it OFF!!!!!"
"Instagram","Unknown",5,"Best app ever"
"Instagram","Unknown",5,"I love you Instagram 😍😍😘😘😘😘😘😘😘😘😘"
"Instagram","Unknown",5,"Le re land ke 5 star bkl"
"Instagram","Unknown",5,"👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍😃😃👍 I like it"
"Instagram","Unknown",1,"Not working this app my device"
"Instagram","Unknown",5,"Very nice"
"Instagram","Unknown",5,"very good"
"Instagram","Unknown",1,"💩"
"Instagram","Unknown",1,"Instagram are showing adverts for illegal goods."
"Instagram","Unknown",5,"Nice saanam"
"Instagram","Unknown",1,"TWO STARS because It has dirty content being from people getting underage kids on their only fans, coming from a 14 year old it is not the best app.. but usually I have to block them but THEY PURPOSELY give me more of their weard content. I still have things to say but the app speaks for it self.. 💩👎🏿"
"Instagram","Unknown",5,"He is best app"
"Instagram","Unknown",2,"guys peak"
"Instagram","Unknown",5,"Super👌"
"Instagram","Unknown",1,"Bight kiaaaass"
"Instagram","Unknown",5,"Supper apap"
"Instagram","Unknown",1,"Waste"
"Instagram","Unknown",5,"Sadik muniri"
"Instagram","Unknown",5,"Altamas"
"Instagram","Unknown",2,"It's just gone from bad to worse. Getting bugs very regularly. Posting and UI is clunky. Just not as enjoyable as it used to be."
"Instagram","Unknown",3,"Good app 👍 __hopper_73_ flow me"
"Instagram","Unknown",5,"Very nice aap"
"Instagram","Unknown",1,"2025 new ""features"": ad breaks when scrolling, because every second post being an ad is not enough, push notifications spam, useless mandatory popups, format changes for fitted content... Was about time they burried the app, since it has been limping in obscurity thanks to belonging to the met(h)-averse."
"Instagram","Unknown",1,"Nice"
"Instagram","Unknown",5,"Ify best"
"Instagram","Unknown",5,"Great"
"Instagram","Unknown",5,"Instagram nice 👍"
"Instagram","Unknown",1,"BRING BACK THE OLD SQUARE FORMAT FOR THE POSTS!"
"Instagram","Unknown",1,"promotes nudity to minors"
"Instagram","Unknown",1,"Lolol ai now deleting pictures of my soccer jersey collection (im not the only one) saying I'm trying to sell counterfeit goods. Won't screen self harm or Nazi stuff or CSAM stuff but real soccer jersey collections are the issue 🙄"
"Instagram","Unknown",5,"Update"
"Instagram","Unknown",5,"Viral my reels and non followers growthing instagram account"
"Instagram","Unknown",4,"You're referring to Instagram's ""Gift"" feature. This feature allows creators to receive gifts from their followers during live streams. Gifts are a way for viewers to show their appreciation and support for their favorite creators. When a viewer sends a gift, it appears in the live stream, and the creator can acknowledge and thank them in real-time. Gifts can be purchased with Instagram's Stars, which are virtual tokens that can be bought within the app."
"Instagram","Unknown",1,"-8⭐!! /// Release notes: 'No information from the developer' - Nothing is simply too little... Therefore, no one can provide specific feedback on new implementations to the developer. Disappointing!"
"Instagram","Unknown",5,"Bhai log bahut hi mast app"
"Instagram","Unknown",5,"Nice app 🤠👍👍"
"Instagram","Unknown",1,"If i could i would give 0 stars"
"Instagram","Unknown",5,"An amazing app."
"Instagram","Unknown",5,"Perfect, perfect, everything down to the last minute teachings😍"
"Instagram","Unknown",5,"Good"
"Instagram","Unknown",5,"👍🏻🙂"
"Instagram","Unknown",5,"Good"
