Appname,Date,Score,Text,text
Monica AI: Deep Chat & Search,Unknown,5,very useful,very useful
Monica AI: Deep Chat & Search,Unknown,5,😲 1 no. app,no app
Monica AI: Deep Chat & Search,Unknown,5,nice,nice
Monica AI: Deep Chat & Search,Unknown,5,very well..always havd best answers,very wellalways havd best answers
Monica AI: Deep Chat & Search,Unknown,1,"The video length is too short, 5 seconds or 10 seconds video generation is very very short to explain anything on social media. And I tried to see if they is a way I can expand the length of the video at up to 1 minute, I couldn't find it. Am very highly disappointed. Thank you.",the video length is too short seconds or seconds video generation is very very short to explain anything on social media and i tried to see if they is a way i can expand the length of the video at up to minute i couldnt find it am very highly disappointed thank you
Monica AI: Deep Chat & Search,Unknown,1,very bad,very bad
Monica AI: Deep Chat & Search,Unknown,5,It is not bad,it is not bad
Monica AI: Deep Chat & Search,Unknown,5,"Very 👍 👍 👍 👍 👍 👍 👍 👍, I love it",very i love it
Monica AI: Deep Chat & Search,Unknown,5,Excellent,excellent
Monica AI: Deep Chat & Search,Unknown,5,nice,nice
Monica AI: Deep Chat & Search,Unknown,1,"Paid site, though shown as free, but got know after installing the app",paid site though shown as free but got know after installing the app
Monica AI: Deep Chat & Search,Unknown,5,very good 👍 👏 👌 😀 ☺️ 🙌,very good
Monica AI: Deep Chat & Search,Unknown,5,👍 nice,nice
Monica AI: Deep Chat & Search,Unknown,5,"Great innovation, the crystallization of human wisdom",great innovation the crystallization of human wisdom
Monica AI: Deep Chat & Search,Unknown,5,love it,love it
Monica AI: Deep Chat & Search,Unknown,1,bad,bad
Monica AI: Deep Chat & Search,Unknown,5,nice and good,nice and good
Monica AI: Deep Chat & Search,Unknown,5,"Perfect app for solving scholars problems I highly recommend it Just that we miss the past features of customizing responses such as options of making the responses long, short, professional and funny",perfect app for solving scholars problems i highly recommend it just that we miss the past features of customizing responses such as options of making the responses long short professional and funny
Monica AI: Deep Chat & Search,Unknown,5,awesome,awesome
Monica AI: Deep Chat & Search,Unknown,5,perfect💯,perfect
Monica AI: Deep Chat & Search,Unknown,5,Phenomenal!!! 😍,phenomenal
Monica AI: Deep Chat & Search,Unknown,5,great models 👍,great models
Monica AI: Deep Chat & Search,Unknown,5,love it,love it
Monica AI: Deep Chat & Search,Unknown,5,This is an amazing app,this is an amazing app
Monica AI: Deep Chat & Search,Unknown,5,it's massive,its massive
Monica AI: Deep Chat & Search,Unknown,5,solid answers 👌 👏,solid answers
Monica AI: Deep Chat & Search,Unknown,1,Difficult to use for a beginner on trial account. I Google something about the app which it says in doable in Monica but when we try to do it the options are nit available,difficult to use for a beginner on trial account i google something about the app which it says in doable in monica but when we try to do it the options are nit available
Monica AI: Deep Chat & Search,Unknown,5,very good and efficient,very good and efficient
Monica AI: Deep Chat & Search,Unknown,2,"The app shows the unlimited package as ₹11,900, but when I try to subscribe, it charges ₹19,700. This is misleading and needs to be fixed. Please update the pricing display to reflect the correct amount. Transparency in pricing is crucial for a good user experience. Hope this gets resolved soon!",the app shows the unlimited package as but when i try to subscribe it charges this is misleading and needs to be fixed please update the pricing display to reflect the correct amount transparency in pricing is crucial for a good user experience hope this gets resolved soon
Monica AI: Deep Chat & Search,Unknown,1,Don't use this app it's not free,dont use this app its not free
Monica AI: Deep Chat & Search,Unknown,1,پبدی,پبدی
Monica AI: Deep Chat & Search,Unknown,5,has helpful info,has helpful info
Monica AI: Deep Chat & Search,Unknown,3,"personally I like Monica, she is fast and accurate especially when u are using the paid plan",personally i like monica she is fast and accurate especially when u are using the paid plan
Monica AI: Deep Chat & Search,Unknown,1,"Bait and Switch. Advertise Infinite, Lie. Advertise Conversation Memory Lie. Regret 100%.",bait and switch advertise infinite lie advertise conversation memory lie regret
Monica AI: Deep Chat & Search,Unknown,1,this AI is the dumbest one I have used.,this ai is the dumbest one i have used
Monica AI: Deep Chat & Search,Unknown,3,I really like this app but the new update is throwing my creativity off.,i really like this app but the new update is throwing my creativity off
Monica AI: Deep Chat & Search,Unknown,4,"it's absolutely marvelous!! I love working with Monica, my rate is 5 stars but I give 4 so that the developers should continue working on it, I don't know what else they can add, but I believe there nigh still be much to add. Courage and nice job + thanks!",its absolutely marvelous i love working with monica my rate is stars but i give so that the developers should continue working on it i dont know what else they can add but i believe there nigh still be much to add courage and nice job thanks
Monica AI: Deep Chat & Search,Unknown,5,excellent,excellent
Monica AI: Deep Chat & Search,Unknown,5,wonderful and well organized work.,wonderful and well organized work
Monica AI: Deep Chat & Search,Unknown,1,"This ""A.I"" of yours doesn't work, I put an image and said to make it better but it says that an internal server error happened. This app doesn't work for some people.",this ai of yours doesnt work i put an image and said to make it better but it says that an internal server error happened this app doesnt work for some people
Monica AI: Deep Chat & Search,Unknown,5,she could do websites like physically make a websites and whatever you would have to do is just take over and search some products online just like you do everything it's the greatest thing I've ever seen,she could do websites like physically make a websites and whatever you would have to do is just take over and search some products online just like you do everything its the greatest thing ive ever seen
Monica AI: Deep Chat & Search,Unknown,5,Is The App's Frontend Made In Flutter?,is the apps frontend made in flutter
Monica AI: Deep Chat & Search,Unknown,5,great AI app,great ai app
Monica AI: Deep Chat & Search,Unknown,5,mind blowing,mind blowing
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,4,"Monica is actually quite well with me and my devices, and I have been able to reference all my friends to the usefulness of the app.",monica is actually quite well with me and my devices and i have been able to reference all my friends to the usefulness of the app
Monica AI: Deep Chat & Search,Unknown,1,"Choppy AI voice assistant, speaks to itself and won't even say a sentence for longer than 3 seconds",choppy ai voice assistant speaks to itself and wont even say a sentence for longer than seconds
Monica AI: Deep Chat & Search,Unknown,4,good,good
Monica AI: Deep Chat & Search,Unknown,4,"Straight forward, I love Monica Al absolutely 💯💯🙏🙏",straight forward i love monica al absolutely
Monica AI: Deep Chat & Search,Unknown,1,Not really free! pretty cool easy to use but if you don't like how it turned out you are unable to try again. If you do like and download it it is just an image will not save video.,not really free pretty cool easy to use but if you dont like how it turned out you are unable to try again if you do like and download it it is just an image will not save video
Monica AI: Deep Chat & Search,Unknown,2,not bad,not bad
Monica AI: Deep Chat & Search,Unknown,5,Nice tool for students,nice tool for students
Monica AI: Deep Chat & Search,Unknown,1,"your advertising is not transparent, other than prompting everything require advanced credit and 4500 a year is less as your usage of credit is very expensive",your advertising is not transparent other than prompting everything require advanced credit and a year is less as your usage of credit is very expensive
Monica AI: Deep Chat & Search,Unknown,5,😎😎,
Monica AI: Deep Chat & Search,Unknown,5,عالی,عالی
Monica AI: Deep Chat & Search,Unknown,1,"it's hard to upload a picture, so slow 😞",its hard to upload a picture so slow
Monica AI: Deep Chat & Search,Unknown,4,it is very fast and much better to talk,it is very fast and much better to talk
Monica AI: Deep Chat & Search,Unknown,2,"Unorganized with useless features. Lacking model customization, bad cost/benefit based on industry standard.",unorganized with useless features lacking model customization bad costbenefit based on industry standard
Monica AI: Deep Chat & Search,Unknown,5,The best ai I have been using till now. I pray they don't turn to pay to use like the others ones I also enjoyed. Thank you. Keep up the good work.,the best ai i have been using till now i pray they dont turn to pay to use like the others ones i also enjoyed thank you keep up the good work
Monica AI: Deep Chat & Search,Unknown,5,excellent,excellent
Monica AI: Deep Chat & Search,Unknown,4,nice,nice
Monica AI: Deep Chat & Search,Unknown,5,ni e,ni e
Monica AI: Deep Chat & Search,Unknown,3,great app,great app
Monica AI: Deep Chat & Search,Unknown,4,Honestly this app is an interesting one. It actually helps you surf all your biggies and get all those questions dealt with.,honestly this app is an interesting one it actually helps you surf all your biggies and get all those questions dealt with
Monica AI: Deep Chat & Search,Unknown,5,very nice app,very nice app
Monica AI: Deep Chat & Search,Unknown,4,not bad,not bad
Monica AI: Deep Chat & Search,Unknown,5,rất nhanh,rất nhanh
Monica AI: Deep Chat & Search,Unknown,5,awesome,awesome
Monica AI: Deep Chat & Search,Unknown,5,great app,great app
Monica AI: Deep Chat & Search,Unknown,5,I hope no payment,i hope no payment
Monica AI: Deep Chat & Search,Unknown,5,really enjoyed using this Monica ai,really enjoyed using this monica ai
Monica AI: Deep Chat & Search,Unknown,5,"perfect , 👌",perfect
Monica AI: Deep Chat & Search,Unknown,3,မြန်မာဘာသာပြန်ရာတွင်လိုသည်,မနမဘသပနရတငလသည
Monica AI: Deep Chat & Search,Unknown,5,"it is so fantastic and bombastic, actually it's incredible app , I wish can be understood act any of nee",it is so fantastic and bombastic actually its incredible app i wish can be understood act any of nee
Monica AI: Deep Chat & Search,Unknown,5,Amazing Artificial Intelligence application with many features!!,amazing artificial intelligence application with many features
Monica AI: Deep Chat & Search,Unknown,4,Amazing,amazing
Monica AI: Deep Chat & Search,Unknown,5,she so cute and good,she so cute and good
Monica AI: Deep Chat & Search,Unknown,5,عالی,عالی
Monica AI: Deep Chat & Search,Unknown,1,kuch kaam ka nahi hai,kuch kaam ka nahi hai
Monica AI: Deep Chat & Search,Unknown,5,عالی است مخصوصا بخش سخنگو,عالی است مخصوصا بخش سخنگو
Monica AI: Deep Chat & Search,Unknown,1,"initial trial, left me frustrated. while it does have some solid apps tools. the text summerys or any text or pdf does not work on a androind. makes me download a link instead pdf or text file. it does offer it thru the share menu, but out of 30 attempts, only 2 worked. others were ""Collapsed"" and ŵould not expand. rest only made the page viewed at time of making pdf. had to use 2 to 4 additional apps and a lot of time to have my copy. and paying sub does not remove irritating Mechanisms.",initial trial left me frustrated while it does have some solid apps tools the text summerys or any text or pdf does not work on a androind makes me download a link instead pdf or text file it does offer it thru the share menu but out of attempts only worked others were collapsed and ŵould not expand rest only made the page viewed at time of making pdf had to use to additional apps and a lot of time to have my copy and paying sub does not remove irritating mechanisms
Monica AI: Deep Chat & Search,Unknown,5,very nice,very nice
Monica AI: Deep Chat & Search,Unknown,5,very helpful,very helpful
Monica AI: Deep Chat & Search,Unknown,5,one of the bes,one of the bes
Monica AI: Deep Chat & Search,Unknown,5,"I like Monica so much,,,she knows everything. she knows how to answer each and every question I have ever asked",i like monica so muchshe knows everything she knows how to answer each and every question i have ever asked
Monica AI: Deep Chat & Search,Unknown,5,Wonderful.,wonderful
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,5,Seems like a great idea. My only issue was my own fault and the developer fixed the issue at hand. Thank you for tour help! 🙌🙌🙌,seems like a great idea my only issue was my own fault and the developer fixed the issue at hand thank you for tour help
Monica AI: Deep Chat & Search,Unknown,5,best all in one Ai,best all in one ai
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,5,finally fid useful ai,finally fid useful ai
Monica AI: Deep Chat & Search,Unknown,5,this is exemious,this is exemious
Monica AI: Deep Chat & Search,Unknown,1,"The concept of infinity is often misrepresented. While the presence of infinity symbols may suggest limitless access, in reality, the service does not offer unconditional infinite use. My decision to purchase a year’s subscription was primarily based on the premise of unlimited access, which unfortunately resembles a bait-and-switch approach. This raises an important question: what does ""infinite"" truly mean in this context? I would not recommend.",the concept of infinity is often misrepresented while the presence of infinity symbols may suggest limitless access in reality the service does not offer unconditional infinite use my decision to purchase a years subscription was primarily based on the premise of unlimited access which unfortunately resembles a baitandswitch approach this raises an important question what does infinite truly mean in this context i would not recommend
Monica AI: Deep Chat & Search,Unknown,5,اوکیه,اوکیه
Monica AI: Deep Chat & Search,Unknown,5,nice and easy,nice and easy
Monica AI: Deep Chat & Search,Unknown,3,"Helpful AI tool, but not one I need a ton.",helpful ai tool but not one i need a ton
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,4,Answers are pretty short but clear and informative,answers are pretty short but clear and informative
Monica AI: Deep Chat & Search,Unknown,5,Good,good
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,4,"I asked using the Elon Musk chat bot, and the answer was extremely subjective & opinionated, not facts. otherwise it's an awesome AI/ChatGPT app",i asked using the elon musk chat bot and the answer was extremely subjective opinionated not facts otherwise its an awesome aichatgpt app
Monica AI: Deep Chat & Search,Unknown,5,Resuelve todo de manera concreta y bien explicada. Hasta ahora no hay pregunta que no halla contestado bien.,resuelve todo de manera concreta y bien explicada hasta ahora no hay pregunta que no halla contestado bien
Monica AI: Deep Chat & Search,Unknown,5,Exceptional,exceptional
Monica AI: Deep Chat & Search,Unknown,5,great ai,great ai
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,5,its good,its good
Monica AI: Deep Chat & Search,Unknown,5,This app surpassed my expectations,this app surpassed my expectations
Monica AI: Deep Chat & Search,Unknown,3,Decent AI assistant but not for beginners.,decent ai assistant but not for beginners
Monica AI: Deep Chat & Search,Unknown,5,very useful,very useful
Monica AI: Deep Chat & Search,Unknown,5,excellent,excellent
Monica AI: Deep Chat & Search,Unknown,5,The best,the best
Monica AI: Deep Chat & Search,Unknown,5,I would like to obtain lecture notes for my university courses.,i would like to obtain lecture notes for my university courses
Monica AI: Deep Chat & Search,Unknown,4,paid app,paid app
Monica AI: Deep Chat & Search,Unknown,5,Excellent.,excellent
Monica AI: Deep Chat & Search,Unknown,5,its rlly helpful,its rlly helpful
Monica AI: Deep Chat & Search,Unknown,5,it's good for assignments,its good for assignments
Monica AI: Deep Chat & Search,Unknown,4,Helpful,helpful
Monica AI: Deep Chat & Search,Unknown,5,the best ai,the best ai
Monica AI: Deep Chat & Search,Unknown,5,"I am not using the app for long but I used their web for long to solve electronic and power questions, so far its an amazing Ai with minimum Error (I haven't seen any error yet)",i am not using the app for long but i used their web for long to solve electronic and power questions so far its an amazing ai with minimum error i havent seen any error yet
Monica AI: Deep Chat & Search,Unknown,4,"Thank you. i owe you , really.",thank you i owe you really
Monica AI: Deep Chat & Search,Unknown,5,hey guys this is so cool and fast,hey guys this is so cool and fast
Monica AI: Deep Chat & Search,Unknown,5,Very accurate,very accurate
Monica AI: Deep Chat & Search,Unknown,5,your app is best,your app is best
Monica AI: Deep Chat & Search,Unknown,4,good,good
Monica AI: Deep Chat & Search,Unknown,5,good,good
Monica AI: Deep Chat & Search,Unknown,5,great,great
Monica AI: Deep Chat & Search,Unknown,5,A great App.,a great app
Monica AI: Deep Chat & Search,Unknown,5,"Absolutely best Ai app out there, totally recommend subscribing to pro as u most definitely wont regret!",absolutely best ai app out there totally recommend subscribing to pro as u most definitely wont regret
Monica AI: Deep Chat & Search,Unknown,5,Ok,ok
Monica AI: Deep Chat & Search,Unknown,4,nice app,nice app
Monica AI: Deep Chat & Search,Unknown,5,smart and applicable,smart and applicable
Monica AI: Deep Chat & Search,Unknown,5,this is hands down the best ai bot app available right now!,this is hands down the best ai bot app available right now
Monica AI: Deep Chat & Search,Unknown,5,the best,the best
Monica AI: Deep Chat & Search,Unknown,5,Please no money I am poor please monica,please no money i am poor please monica
Monica AI: Deep Chat & Search,Unknown,5,Great customized ai app. But it is better in PC.,great customized ai app but it is better in pc
Monica AI: Deep Chat & Search,Unknown,1,not help full,not help full
Monica AI: Deep Chat & Search,Unknown,5,Love you 🌹,love you
Monica AI: Deep Chat & Search,Unknown,5,La #1 recomendable ✨🐿️,la recomendable
Monica AI: Deep Chat & Search,Unknown,1,good,good
Monica AI: Deep Chat & Search,Unknown,5,best ai tool for image and video generation in one place I like it very much and highly recommended,best ai tool for image and video generation in one place i like it very much and highly recommended
Monica AI: Deep Chat & Search,Unknown,3,bom,bom
Monica AI: Deep Chat & Search,Unknown,5,perfect,perfect
Monica AI: Deep Chat & Search,Unknown,5,excellent ai 🥰🥰,excellent ai
Monica AI: Deep Chat & Search,Unknown,1,"No image, no video, no money from me, deceptive.",no image no video no money from me deceptive
Monica AI: Deep Chat & Search,Unknown,5,Ok,ok
Monica AI: Deep Chat & Search,Unknown,5,cool,cool
Monica AI: Deep Chat & Search,Unknown,5,fantastic,fantastic
Monica AI: Deep Chat & Search,Unknown,2,"good but: it doesn't help the same way as on browser. when i select a text on browser it suggests me options like: explain, rewrite, translate... on Android it doesn't suggest anything, it doesn't even have those suggestions that are on browser. that makes it useful for browser and useless for Android.",good but it doesnt help the same way as on browser when i select a text on browser it suggests me options like explain rewrite translate on android it doesnt suggest anything it doesnt even have those suggestions that are on browser that makes it useful for browser and useless for android
Monica AI: Deep Chat & Search,Unknown,5,it's okay,its okay
Monica AI: Deep Chat & Search,Unknown,5,I love this app,i love this app
Monica AI: Deep Chat & Search,Unknown,5,fantastic,fantastic
Monica AI: Deep Chat & Search,Unknown,5,👍,
