"Appname","Date","Score","Text"
"YouCam Video: Makeup & Retouch","Unknown",1,"I was forcefully selected one star ⭐..Guys please don't get into this scam.This is worst app Don't install & Don't pay Rs. 2 .... Initially they will offer 2 Rs for free trial subscription of one week. In Terms and condition we can stop Subscription within trail period if u don't like to continue further. But here there is no chance to stop our subscription within the trail period. Finally they will do Autopay for every month Rs 1100.🙏🙏🙏🙏🙏 So guys don't encourage this app.take care"
"YouCam Video: Makeup & Retouch","Unknown",2,"Waste of time . Because it's Fully payment method"
"YouCam Video: Makeup & Retouch","Unknown",3,"It is a very useful app to help you look more polished when you are doing business videos for social media. The two apps youcam photo editor and youcam video editor should work in conjunction with each other. . However that is not the case because there are more options with the youcam photo editor then there is matching options for the youcam video editor. Where you cannot achieve the same look on both the platforms for the same take. Pics look different from the edited video because of this."
"YouCam Video: Makeup & Retouch","Unknown",1,"Bought a month's subscription, but the app didn't let me use the premium features. Do not trust this app. It's a scam app. What a shame!!!"
"YouCam Video: Makeup & Retouch","Unknown",1,"Garbage app. Makes you pay for credits. Why are there no free ai apps"
"YouCam Video: Makeup & Retouch","Unknown",1,"Misleading and scam the picture you uploaded and what they uploaded was 2 different people absolutely will I ever use this app again"
"YouCam Video: Makeup & Retouch","Unknown",1,"Even though you paid for premium they still want you to pay for some features on top of that. That's very greedy bad guys."
"YouCam Video: Makeup & Retouch","Unknown",3,"Hi I love your apps. It is awesome we can add more face touch in a video. I suggest you also complete this amazing app with some important features: 
1. Video FaceSwap 
2. Cartoon Effect Video 
3. VIdeo to Images 
4. Slow Motion(Stop and Sway) 
Good luck."
"YouCam Video: Makeup & Retouch","Unknown",1,"Downloaded becuase I was told this is the best app for increasing video quality. Paid for premium only to discover the feature that increases video quality isn't included in premium and even if you pay the 30 bucks, you still have 0 credits to use to fix videos. So basically premium is useless and im pissed I paid it and they have no customer service so I can't get a refund. Don't recommend unless your just looking for a app that adds make up and filters for $$"
"YouCam Video: Makeup & Retouch","Unknown",1,"Pay wall for everything. Waste of time"
"YouCam Video: Makeup & Retouch","Unknown",1,"App is paid .Do not begginer.No waste time this apps"
"YouCam Video: Makeup & Retouch","Unknown",1,"Doesn't sava the video it always say unsuccessful."
"YouCam Video: Makeup & Retouch","Unknown",5,"nice"
"YouCam Video: Makeup & Retouch","Unknown",1,"The hair colors look absolutely fake omg"
"YouCam Video: Makeup & Retouch","Unknown",1,"Not working now"
"YouCam Video: Makeup & Retouch","Unknown",5,"Very good 👍"
"YouCam Video: Makeup & Retouch","Unknown",5,"brilliant"
